VOG6653,212.9,109.7
VOG8838,113.4,59.2
VOG8839,71.2,NA
VOG8836,286.3,NA
VOG8837,155.1,NA
VOG8834,154.3,NA
VOG8835,160.3,NA
VOG8832,421.7,127.8
VOG8833,143.7,NA
VOG8830,199.4,NA
VOG8831,121.0,NA
VOG7389,124.7,NA
VOG7388,167.0,NA
VOG7381,140.9,NA
VOG7380,99.5,72.0
VOG7383,94.1,NA
VOG7382,125.9,NA
VOG7385,159.1,NA
VOG7384,274.1,46.6
VOG7387,219.2,NA
VOG7386,141.1,NA
VOG6478,162.5,74.7
VOG6479,99.0,NA
VOG5868,296.6,NA
VOG6470,244.4,NA
VOG6471,130.7,NA
VOG6472,110.5,NA
VOG5869,130.4,NA
VOG6474,157.6,136.0
VOG6475,123.8,NA
VOG6476,488.1,NA
VOG6477,271.2,111.1
VOG5507,148.7,NA
VOG3275,270.3,NA
VOG3274,279.8,44.4
VOG5862,334.9,NA
VOG0642,153.6,33.8
VOG3277,339.0,NA
VOG5863,267.0,NA
VOG7221,176.1,NA
VOG7226,141.4,141.1
VOG7951,554.4,NA
VOG3273,210.3,NA
VOG7953,269.7,38.8
VOG1004,119.7,NA
VOG1005,202.0,201.1
VOG1006,166.2,165.5
VOG1001,266.2,244.2
VOG7958,88.0,47.2
VOG7959,129.3,NA
VOG6386,209.6,NA
VOG6387,217.7,NA
VOG6384,86.1,NA
VOG6385,121.1,NA
VOG6382,338.8,277.7
VOG6383,205.4,NA
VOG6380,70.1,NA
VOG6381,121.3,NA
VOG6388,256.7,NA
VOG6389,129.1,NA
VOG6571,230.9,110.5
VOG2053,61.4,57.1
VOG2051,76.4,75.2
VOG6575,115.4,NA
VOG6574,390.1,231.9
VOG5462,108.7,NA
VOG6577,112.8,82.5
VOG5463,96.4,NA
VOG5460,128.8,64.9
VOG5233,388.8,NA
VOG5461,285.0,30.3
VOG9765,336.0,NA
VOG9988,142.1,NA
VOG5464,124.4,NA
VOG9766,240.4,NA
VOG5232,111.6,NA
VOG9985,202.2,NA
VOG9984,105.2,NA
VOG9987,601.3,NA
VOG10838,131.8,NA
VOG9986,264.5,NA
VOG10839,180.2,NA
VOG5231,282.6,NA
VOG5036,6848.1,2014.3
VOG0065,120.9,120.7
VOG0064,270.1,43.8
VOG0067,318.3,NA
VOG0066,46.9,NA
VOG0061,503.5,468.8
VOG7551,223.5,NA
VOG0069,122.9,NA
VOG0068,131.0,NA
VOG7553,163.1,NA
VOG7554,312.6,262.7
VOG7555,188.7,40.4
VOG5659,132.2,NA
VOG5658,46.5,NA
VOG5129,54.7,53.2
VOG5128,106.7,NA
VOG5127,234.6,42.1
VOG5126,429.4,269.7
VOG9176,107.8,NA
VOG5124,76.2,65.4
VOG9170,359.2,NA
VOG5122,194.9,NA
VOG5653,72.2,NA
VOG9173,107.4,32.3
VOG4838,247.7,NA
VOG4839,353.1,NA
VOG4529,101.0,NA
VOG4299,95.3,NA
VOG4296,120.5,NA
VOG4525,185.2,NA
VOG4830,373.5,314.1
VOG4295,196.7,41.9
VOG4836,324.7,NA
VOG4521,86.3,NA
VOG4522,NA,104.2
VOG4835,888.7,34.3
VOG9718,266.5,NA
VOG9719,303.6,NA
VOG9710,729.1,NA
VOG9711,102.8,94.8
VOG9712,662.3,59.3
VOG9713,233.1,NA
VOG9714,655.9,NA
VOG9715,96.1,NA
VOG9716,126.6,41.0
VOG9717,98.5,NA
VOG4748,38.6,33.4
VOG4749,181.2,NA
VOG4740,193.0,89.7
VOG4741,124.7,NA
VOG4742,75.3,NA
VOG4743,826.3,815.3
VOG4744,65.1,47.8
VOG4745,109.0,109.0
VOG4746,174.1,37.0
VOG4747,116.3,35.1
VOG10052,307.9,38.6
VOG10721,1307.8,NA
VOG10050,231.7,NA
VOG10051,137.5,NA
VOG10056,266.6,NA
VOG10057,270.8,NA
VOG10054,109.4,NA
VOG10727,162.5,NA
